a	/ə/
blackerby	/ˈblækɚbi/
blackest	/ˈblækəst/
blacketer	/ˈblækitɚ/
blackett	/ˈblækɪt/
blackfoot	/ˈblækˌfʊt/
blackford	/ˈblækfɚd/
blackham	/ˈblækhəm/
blackhawk	/ˈblækˌhɔk/
blackhawk's	/ˈblækˌhɔks/
blackhawks	/ˈblækˌhɔks/
blackheath	/ˈblækˌhiθ/
blackhurst	/ˈblækhɚst/
blackie	/ˈblæki/
blackjack	/ˈblækˌdʒæk/
blackledge	/ˈblæˌklɛdʒ/
blackley	/ˈblækli/
blacklist	/ˈblæˌklɪst/
blacklisted	/ˈblæˌklɪstɪd/
blacklisting	/ˈblæˌklɪstɪŋ/
blacklock	/ˈblæˌklɑk/
blackmail	/ˈblækˌmeɪl/
blackmailed	/ˈblækˌmeɪld/
blackmailing	/ˈblækˌmeɪlɪŋ/
blackman	/ˈblækmən/
blackmer	/ˈblækmɚ/
blackmon	/ˈblækmən/
blackmore	/ˈblækmɔɹ/
blackmun	/ˈblækmən/
blackmun's	/ˈblækmənz/
blackness	/ˈblæknəs/
blackout	/ˈblæˌkaʊt/
blackouts	/ˈblæˌkaʊts/
blackpool	/ˈblækˌpul/
blackrock	/ˈblæˌkɹɑk/
blacks	/ˈblæks/
blacks'	/ˈblæks/
blacksburg	/ˈblæksbɚɡ/
blackshear	/ˈblækʃɪɹ/
blacksher	/ˈblækʃɚ/
blackshire	/ˈblækˌʃaɪɹ/
blacksmith	/ˈblækˌsmɪθ/
blackson	/ˈblæksən/
blackstock	/ˈblækˌstɑk/
blackston	/ˈblækstən/
blackstone	/ˈblækˌstoʊn/
blackstone's	/ˈblækˌstoʊnz/
blacktop	/ˈblækˌtɑp/
blackwelder	/ˈblæˌkwɛldɚ/
blackwell	/ˈblæˌkwɛl/
blackwood	/ˈblæˌkwʊd/
bladder	/ˈblædɚ/
bladders	/ˈblædɚz/
blade	/ˈbleɪd/
bladed	/ˈbleɪdɪd/
bladen	/ˈbleɪdən/
blades	/ˈbleɪdz/
blading	/ˈbleɪdɪŋ/
bladow	/ˈblædoʊ/
blaese	/ˈbleɪz/
blaesing	/ˈblɛsɪŋ/
blagden	/ˈblæɡdən/
blagg	/ˈblæɡ/
blah	/ˈblɑ/
blaha	/ˈblɑhə/
blahnik	/ˈblɑnɪk/
blahut	/ˈblæhət/
blaich	/ˈbleɪtʃ/
blaikie	/ˈbleɪki/
blain	/ˈbleɪn/
blaine	/ˈbleɪn/
blair	/ˈblɛɹ/
blair's	/ˈblɛɹz/
blais	/ˈblɛz/
blaisdell	/ˈbleɪsdəl/
blaise	/ˈbleɪz/
blaiser	/ˈbleɪzɚ/
blaize	/ˈbleɪz/
blake	/ˈbleɪk/
blake's	/ˈbleɪks/
blakeley	/ˈbleɪkli/
blakeley's	/ˈbleɪkliz/
blakely	/ˈbleɪkli/
blakely's	/ˈbleɪkliz/
blakeman	/ˈbleɪkmən/
blakemore	/ˈbleɪkmɔɹ/
blakeney	/ˈbleɪkni/
blakeney's	/ˈbleɪkniz/
blakenham	/ˈbleɪkənˌhæm/
blakenship	/ˈbleɪkənʃɪp/
blaker	/ˈbleɪkɚ/
blakes	/ˈbleɪks/
blakeslee	/ˈbleɪksli/
blakesley	/ˈbleɪksli/
blakey	/ˈbleɪki/
blakley	/ˈblækli/
blakney	/ˈblækni/
blalack	/ˈblælək/
blalock	/ˈblælɑk/
blame	/ˈbleɪm/
blamed	/ˈbleɪmd/
blameless	/ˈbleɪmləs/
blames	/ˈbleɪmz/
blamestrorm	/ˈbleɪmˌstɔɹm/
blaming	/ˈbleɪmɪŋ/
blampied	/ˈblæmpid/
blan	/ˈblæn/
blanc	/ˈblæŋk/
blanca	/ˈblɑŋkə/
blancett	/ˈblænsɪt/
blanch	/ˈblæntʃ/
blanchard	/ˈblæntʃɚd/
blanchard's	/ˈblæntʃɚdz/
blanchards	/ˈblæntʃɚdz/
blanche	/ˈblæntʃ/
blanchet	/ˈblænkɪt/
blanchett	/ˈblæntʃɪt/
blanchette	/blənˈʃɛt/
blanchfield	/ˈblæntʃˌfild/
blanck	/ˈblæŋk/
blancmange	/bləˈmɑndʒ/
blanco	/ˈblæŋkoʊ/
bland	/ˈblænd/
blanda	/ˈblændə/
blander	/ˈblændɚ/
blandford	/ˈblændfɔɹd/
blandin	/ˈblændɪn/
blanding	/ˈblændɪŋ/
blandino	/blɑnˈdinoʊ/
blandishment	/ˈblændɪʃmənt/
blandishments	/ˈblændɪʃmənts/
blandly	/ˈblændli/
blandness	/ˈblændnəs/
blando	/ˈblændoʊ/
blandon	/ˈblændɪn/
blane	/ˈbleɪn/
blaney	/ˈbleɪni/
blanford	/ˈblænfɚd/
blank	/ˈblæŋk/
blanke	/ˈblæŋk/
blanked	/ˈblæŋkt/
blanken	/ˈblæŋkən/
blankenbaker	/ˈblæŋkənˌbeɪkɚ/
blankenbeckler	/ˈblæŋkənˌbɛklɚ/
blankenburg	/ˈblæŋkənbɚɡ/
blankenhorn	/ˈblæŋkɪnhɚn/
blankenship	/ˈblæŋkənˌʃɪp/
blanket	/ˈblæŋkət/
blanketed	/ˈblæŋkətɪd/
blanketing	/ˈblæŋkətɪŋ/
blankets	/ˈblæŋkəts/
blankie	/ˈblæŋˌki/
blankies	/ˈblæŋˌkiz/
blanking	/ˈblæŋkɪŋ/
blankinship	/ˈblæŋkɪnʃɪp/
blankley	/ˈblæŋkli/
blankly	/ˈblæŋkli/
blankly's	/ˈblæŋkliz/
blanks	/ˈblæŋks/
blanky	/ˈblæŋˌki/
blann	/ˈblæn/
blanquita	/blɑnˈkitə/
blansett	/ˈblænsɪt/
blanton	/ˈblæntən/
blare	/ˈblɛɹ/
blared	/ˈblɛɹd/
blares	/ˈblɛɹz/
blaring	/ˈblɛɹɪŋ/
blas	/ˈblɑs/
blaschke	/ˈblæʃk/
blasco	/ˈblɑskoʊ/
blasdel	/ˈblæsdəl/
blasdell	/ˈblæsdəl/
blase	/ˈbleɪz/
blaser	/ˈbleɪzɚ/
blasi	/ˈbleɪzi/
blasia	/ˈblɑsiə/
blasier	/ˈbleɪziɚ/
blasier's	/ˈbleɪziɚz/
blasing	/ˈbleɪzɪŋ/
blasingame	/blɑsɪŋˈɡɑmi/
blasini	/bləˈsini/
blasio	/ˈblæziˌoʊ/
blasius	/ˈbleɪsiɪs/
blaske	/ˈbleɪsk/
blasko	/ˈblɑskoʊ/
blasphemous	/ˈblæsfəməs/
blasphemy	/ˈblæsfəmi/
blass	/ˈblæs/
blassie	/ˈblæsi/
blassie's	/ˈblæsiz/
blassingame	/blɑsɪŋˈɡɑmi/
blast	/ˈblæst/
blastdown	/ˈblæstˌdaʊn/
blasted	/ˈblæstəd/
blaster	/ˈblæstɚ/
blastfurnace	/ˈblæstˌfɝnəs/
blasting	/ˈblæstɪŋ/
blastoderm	/ˈblæstədɚm/
blastoff	/ˈblæˌstɔf/
blastoma	/ˌblæˈstoʊmə/
blasts	/ˈblæsts/
blaszak	/ˈblɑʃək/
blaszczyk	/ˈblɑʃtʃɪk/
blatant	/ˈbleɪtənt/
blatantly	/ˈbleɪtəntli/
blatchford	/ˈblætʃfɚd/
blatchley	/ˈblætʃli/
blather	/ˈblæðɚ/
blatnik	/ˈblætnɪk/
blatt	/ˈblæt/
blatter	/ˈblætɚ/
blattner	/ˈblætnɚ/
blatz	/ˈblæts/
blau	/ˈblaʊ/
blauch	/ˈblɔtʃ/
blauer	/ˈblaʊɹ/
blaum	/ˈblɔm/
blauser	/ˈblaʊsɚ/
blaustein	/ˈblaʊstaɪn/
blauvelt	/ˈblaʊvɪlt/
blay	/ˈbleɪ/
blaydes	/ˈbleɪdz/
blaydon	/ˈbleɪdən/
blaylock	/ˈbleɪlək/
blayne	/ˈbleɪn/
blayney	/ˈbleɪni/
blayze	/ˈbleɪz/
blaze	/ˈbleɪz/
blazed	/ˈbleɪzd/
blazejewski	/bləzeɪˈɛfski/
blazek	/ˈblɑzɛk/
blazer	/ˈbleɪzɚ/
blazers	/ˈbleɪzɚz/
blazes	/ˈbleɪzɪz/
blazier	/ˈbleɪziɚ/
blazina	/blɑˈzinə/
blazing	/ˈbleɪzɪŋ/
blea	/ˈbli/
bleach	/ˈblitʃ/
bleached	/ˈblitʃt/
bleacher	/ˈblitʃɚ/
bleachers	/ˈblitʃɚz/
bleaching	/ˈblitʃɪŋ/
bleak	/ˈblik/
bleaker	/ˈblikɚ/
bleakest	/ˈblikəst/
bleakley	/ˈblikli/
bleakness	/ˈbliknəs/
bleakney	/ˈblikni/
bleam	/ˈblim/
bleary	/ˈblɪɹi/
bleau	/ˈbloʊ/
blech	/ˈblɛk/
blech's	/ˈblɛks/
blecha	/ˈblɛtʃə/
blecher	/ˈblɛkɚ/
blechley	/ˈblɛkli/
blechman	/ˈblɛkmən/
bleck	/ˈblɛk/
blecker	/ˈblɛkɚ/
bled	/ˈblɛd/
bledsoe	/ˈblɛdsoʊ/
bleecker	/ˈblikɚ/
bleed	/ˈblid/
bleeding	/ˈblidɪŋ/
bleeds	/ˈblidz/
bleeker	/ˈblikɚ/
bleep	/ˈblip/
bleeping	/ˈblipɪŋ/
blegen	/ˈblɛɡən/
blehm	/ˈblɛm/
bleich	/ˈblaɪk/
bleicher	/ˈblaɪkɚ/
bleier	/ˈblaɪɚ/
bleil	/ˈblil/
bleiler	/ˈblaɪlɚ/
bleilers	/ˈblaɪlɚz/
blelloch	/ˈblɛlɑk/
blemish	/ˈblɛmɪʃ/
blemished	/ˈblɛmɪʃt/
blemishes	/ˈblɛmɪʃɪz/
blend	/ˈblɛnd/
blenda	/ˈblɛndə/
blendax	/ˈblɛnˌdæks/
blended	/ˈblɛndɪd/
blender	/ˈblɛndɚ/
blenders	/ˈblɛndɚz/
blending	/ˈblɛndɪŋ/
blends	/ˈblɛndz/
blenheim	/ˈblɛnˌhaɪm/
blepharisma	/ˌblɛfɚˈɪzmə/
bleser	/ˈblizɚ/
bless	/ˈblɛs/
blessed	/ˈblɛst/
blessedly	/ˈblɛsədli/
blessedness	/ˈblɛsədnəs/
blesses	/ˈblɛsɪz/
blessing	/ˈblɛsɪŋ/
blessinger	/ˈblɛsɪŋɚ/
blessings	/ˈblɛsɪŋz/
blessington	/ˈblɛsɪŋtən/
blest	/ˈblɛst/
blethen	/ˈblɛθən/
bleu	/ˈblu/
blevens	/ˈblivənz/
blevins	/ˈblɛvɪnz/
blew	/ˈblu/
blewett	/ˈbluɪt/
blewitt	/ˈbluɪt/
bley	/ˈbleɪ/
blick	/ˈblɪk/
blickenstaff	/ˈblɪkɪnstəf/
blida	/ˈblaɪdə/
bligh	/ˈblaɪ/
blight	/ˈblaɪt/
blighted	/ˈblaɪtɪd/
bliley	/ˈblaɪli/
blimp	/ˈblɪmp/
blimps	/ˈblɪmps/
blincoe	/blɪnˈkoʊ/
blind	/ˈblaɪnd/
blinded	/ˈblaɪndɪd/
blinder	/ˈblaɪndɚ/
blinder's	/ˈblaɪndɚz/
blinders	/ˈblaɪndɚz/
blindfold	/ˈblaɪndˌfoʊld/
blindfolded	/ˈblaɪndˌfoʊldɪd/
blinding	/ˈblaɪndɪŋ/
blindly	/ˈblaɪndli/
blindness	/ˈblaɪndnəs/
blinds	/ˈblaɪndz/
blindside	/ˈblaɪndˌsaɪd/
blindsided	/ˈblaɪndˌsaɪdɪd/
blink	/ˈblɪŋk/
blinked	/ˈblɪŋkt/
blinken	/ˈblɪŋkən/
blinking	/ˈblɪŋkɪŋ/
blinks	/ˈblɪŋks/
blinn	/ˈblɪn/
blip	/ˈblɪp/
blips	/ˈblɪps/
bliscoll	/ˈblɪskɔl/
blish	/ˈblɪʃ/
bliss	/ˈblɪs/
bliss'	/ˈblɪs/
blissett	/ˈblɪsɪt/
blissful	/ˈblɪsfəl/
blissfully	/ˈblɪsfəli/
blister	/ˈblɪstɚ/
blistered	/ˈblɪstɚd/
blistering	/ˈblɪstɚɪŋ/
blisters	/ˈblɪstɚz/
blitch	/ˈblɪtʃ/
blithe	/ˈblaɪð/
blithely	/ˈblaɪθli/
blitstein	/ˈblɪtstin/
blitz	/ˈblɪts/
blitzed	/ˈblɪtst/
blitzen	/ˈblɪtsən/
blitzer	/ˈblɪtsɚ/
blitzer's	/ˈblɪtsɚz/
blitzes	/ˈblɪtsɪz/
blitzkrieg	/ˈblɪtˌskɹiɡ/
bliven	/ˈblaɪvən/
blixt	/ˈblɪkst/
blizard	/ˈblɪzɚd/
blizzard	/ˈblɪzɚd/
blizzards	/ˈblɪzɚdz/
bloat	/ˈbloʊt/
bloated	/ˈbloʊtɪd/
bloatedness	/ˈbloʊtɪdnəs/
bloating	/ˈbloʊtɪŋ/
bloats	/ˈbloʊts/
blob	/ˈblɑb/
blobby	/ˈblɑbi/
blobs	/ˈblɑbz/
bloc	/ˈblɑk/
bloc's	/ˈblɑks/
bloch	/ˈblɑk/
bloch's	/ˈblɑks/
blocher	/ˈblɑkɚ/
block	/ˈblɑk/
block's	/ˈblɑks/
blockade	/ˌblɑˈkeɪd/
blockaded	/ˌblɑˈkeɪdɪd/
blockader	/ˌblɑˈkeɪdɚ/
blockaders	/ˌblɑˈkeɪdɚz/
blockades	/ˌblɑˈkeɪdz/
blockading	/ˌblɑˈkeɪdɪŋ/
blockage	/ˈblɑkɪdʒ/
blockages	/ˈblɑkɪdʒɪz/
blockbuster	/ˈblɑkˌbʌstɚ/
blockbuster's	/ˈblɑkˌbʌstɚz/
blockbusters	/ˈblɑkˌbʌstɚz/
blockchain	/ˈblɑkˈtʃeɪn/
blocked	/ˈblɑkt/
blocker	/ˈblɑkɚ/
blockers	/ˈblɑkɚz/
blockhead	/ˈblɑkˌhɛd/
blockheads	/ˈblɑkˌhɛdz/
blockhouse	/ˈblɑkˌhaʊs/
blockhouses	/ˈblɑkˌhaʊsəz/
blocking	/ˈblɑkɪŋ/
blocks	/ˈblɑks/
blocs	/ˈblɑks/
blodgett	/ˈblɑdʒɪt/
bloedel	/ˈbloʊdəl/
bloedorn	/ˈbloʊdɚn/
bloem	/ˈbloʊm/
bloemer	/ˈbloʊmɚ/
bloemker	/ˈbloʊmkɚ/
blog	/ˈblɔɡ/
blogger	/ˈblɔɡɚ/
bloggers	/ˈblɔɡɚz/
blogging	/ˈblɔɡɪŋ/
blogosphere	/ˈblɔɡəsˌfɪɹ/
blogs	/ˈblɔɡz/
blohm	/ˈbloʊm/
blok	/ˈblɑk/
bloke	/ˈbloʊk/
blokes	/ˈbloʊks/
blom	/ˈblɑm/
blomberg	/ˈblɑmbɚɡ/
blome	/ˈbloʊm/
blomgren	/ˈblɑmɡɹɛn/
blomkvist	/ˈblɑmˌkwɪst/
blomquist	/ˈblɑmˌkwɪst/
blomstrom	/ˈblɑmstɹəm/
blond	/ˈblɑnd/
blonde	/ˈblɑnd/
blonde's	/ˈblɑndz/
blondell	/ˈblɑndəl/
blonder	/ˈblɑndɚ/
blondes	/ˈblɑndz/
blondest	/ˈblɑndəst/
blondie	/ˈblɑndi/
blondin	/ˈblɑndɪn/
blonds	/ˈblɑndz/
blood	/ˈblʌd/
blood's	/ˈblʌdz/
bloodbath	/ˈblʌdˌbæθ/
blooded	/ˈblʌdɪd/
bloodgood	/ˈblʌdˌɡʊd/
bloodhound	/ˈblʌdhaʊnd/
bloodhounds	/ˈblʌdhaʊndz/
bloodied	/ˈblʌdid/
bloodier	/ˈblʌdiɚ/
bloodiest	/ˈblʌdiəst/
bloodless	/ˈblʌdləs/
bloodletting	/ˈblʌdˌlɛtɪŋ/
bloodline	/ˈblʌdˌlaɪn/
bloodlines	/ˈblʌdˌlaɪnz/
bloods	/ˈblʌdz/
bloodshed	/ˈblʌdˌʃɛd/
bloodstain	/ˈblʌdˌsteɪn/
bloodstained	/ˈblʌdˌsteɪnd/
bloodstains	/ˈblʌdˌsteɪnz/
bloodstone	/ˈblʌdˌstoʊn/
bloodstream	/ˈblʌdˌstɹim/
bloodsucker	/ˈblʌdˌsʌkɚ/
bloodsuckers	/ˈblʌdˌsʌkɚz/
bloodsucking	/ˈblʌdˌsʌkɪŋ/
bloodsworth	/ˈblʌdzˌwɝθ/
bloodthirsty	/ˈblʌdˌθɝsti/
bloodworth	/ˈblʌˌdwɝθ/
bloody	/ˈblʌdi/
bloom	/ˈblum/
bloom's	/ˈblumz/
bloomberg	/ˈblumbɚɡ/
bloomberg's	/ˈblumbɚɡz/
bloomed	/ˈblumd/
bloomer	/ˈblumɚ/
bloomers	/ˈblumɚz/
bloomfield	/ˈblumˌfild/
blooming	/ˈblumɪŋ/
bloomingdale	/ˈblumɪŋˌdeɪl/
bloomingdale's	/ˈblumɪŋˌdeɪlz/
bloomingdales	/ˈblumɪŋˌdeɪlz/
bloomington	/ˈblumɪŋtən/
bloomquist	/ˈblumˌkwɪst/
blooms	/ˈblumz/
blooper	/ˈblupɚ/
bloopers	/ˈblupɚz/
bloor	/ˈblʊɹ/
blose	/ˈbloʊz/
bloss	/ˈblɔs/
blosser	/ˈblɔsɚ/
blossom	/ˈblɑsəm/
blossomed	/ˈblɑsəmd/
blossoming	/ˈblɑsəmɪŋ/
blossoms	/ˈblɑsəmz/
blot	/ˈblɑt/
blotch	/ˈblɑttʃ/
blotched	/ˈblɑttʃt/
blotches	/ˈblɑttʃəz/
blotchier	/ˈblɑttʃiɚ/
blotchiest	/ˈblɑttʃiəst/
blotching	/ˈblɑttʃɪŋ/
blotchy	/ˈblɑttʃi/
blotnick	/ˈblɑtnɪk/
blots	/ˈblɑts/
blotted	/ˈblɑtəd/
blotter	/ˈblɑtɚ/
blotting	/ˈblɑtɪŋ/
blouch	/ˈblaʊtʃ/
blough	/ˈblaʊ/
blouin	/ˈblwin/
blount	/ˈblaʊnt/
blouse	/ˈblaʊs/
blouses	/ˈblaʊsəz/
blow	/ˈbloʊ/
blowdried	/ˈbloʊˌdɹaɪd/
blowdries	/ˈbloʊˌdɹaɪz/
blowdry	/ˈbloʊˌdɹaɪ/
blowdryer	/ˈbloʊˌdɹaɪɚ/
blowdryers	/ˈbloʊˌdɹaɪɚz/
blowdrying	/ˈbloʊˌdɹaɪɪŋ/
blowe	/ˈbloʊ/
blowed	/ˈbloʊd/
blower	/ˈbloʊɚ/
blowers	/ˈbloʊɚz/
blowfish	/ˈbloʊfɪʃ/
blowgun	/ˈbloʊˌɡʌn/
blowguns	/ˈbloʊˌɡʌnz/
blowhard	/ˈbloʊˌhɑɹd/
blowhards	/ˈbloʊˌhɑɹdz/
blowhole	/ˈbloʊˌhoʊl/
blowholes	/ˈbloʊˌhoʊlz/
blowier	/ˈbloʊiɚ/
blowiest	/ˈbloʊiəst/
blowing	/ˈbloʊɪŋ/
blowjob	/ˈbloʊˌdʒɑb/
blowjobs	/ˈbloʊˌdʒɑbz/
blown	/ˈbloʊn/
blowout	/ˈbloʊˌaʊt/
blowouts	/ˈbloʊˌaʊts/
blowpipe	/ˈbloʊˌpaɪp/
blowpipes	/ˈbloʊˌpaɪps/
blows	/ˈbloʊz/
blowtorch	/ˈbloʊˌtɔɹtʃ/
blowtorches	/ˈbloʊˌtɔɹtʃəz/
blowup	/ˈbloʊˌʌp/
blowy	/ˈbloʊi/
bloxham	/ˈblɑksəm/
bloxom	/ˈblɑksəm/
bloxsom	/ˈblɑksəm/
bloyd	/ˈblɔɪd/
bloyer	/ˈblɔɪɚ/
blubaugh	/ˈblʌbɔ/
blubber	/ˈblʌbɚ/
bludgeon	/ˈblʌdʒən/
bludgeoned	/ˈblʌdʒənd/
bludgeoning	/ˈblʌdʒənɪŋ/
blue	/ˈblu/
blue's	/ˈbluz/
bluebeard	/ˈbluˌbiɹd/
bluebell	/ˈbluˌbɛl/
bluebells	/ˈbluˌbɛlz/
blueberries	/ˈbluˌbɛɹiz/
blueberry	/ˈbluˌbɛɹi/
bluebird	/ˈbluˌbɝd/
bluebirds	/ˈbluˌbɝdz/
blueblood	/ˈbluˌblʌd/
blueblooded	/ˈbluˌblʌdəd/
bluebloods	/ˈbluˌblʌdz/
bluebonnet	/ˈbluˌbɑnət/
bluebonnets	/ˈbluˌbɑnəts/
bluebottle	/ˈbluˌbɔtəl/
bluebottles	/ˈbluˌbɔtəlz/
bluechip	/ˈbluˌtʃɪp/
bluecollar	/ˈbluˌkɔlɚ/
blued	/ˈblud/
blueeyed	/ˈbluaɪd/
bluefield	/ˈbluˌfild/
bluegrass	/ˈbluˌɡɹæs/
blueing	/ˈbluɪŋ/
blueish	/ˈbluɪʃ/
bluejacket	/ˈbluˌdʒækɪt/
bluejay	/ˈbluˌdʒeɪ/
bluejeans	/ˈbludʒinz/
bluelaw	/ˈbluˌlɑ/
bluemel	/ˈblʊməl/
blueness	/ˈblunəs/
bluepencil	/ˈbluˌpɛnsəl/
bluepencilled	/ˈbluˌpɛnsəld/
bluepencilling	/ˈbluˌpɛnsəlɪŋ/
bluepencils	/ˈbluˌpɛnsəlz/
blueprint	/ˈbluˌpɹɪnt/
blueprints	/ˈbluˌpɹɪnts/
bluer	/ˈbluɚ/
blues	/ˈbluz/
blues'	/ˈbluz/
bluest	/ˈbluəst/
bluestein	/ˈblʊstaɪn/
bluestine	/ˈbluˌstaɪn/
bluestone	/ˈbluˌstoʊn/
bluesy	/ˈbluzi/
bluetooth	/ˈbluˌtuθ/
bluett	/ˈblut/
bluey	/ˈblui/
bluff	/ˈblʌf/
bluffed	/ˈblʌft/
bluffer	/ˈblʌfɚ/
bluffing	/ˈblʌfɪŋ/
bluffs	/ˈblʌfs/
bluford	/ˈblufɚd/
bluhdorn	/ˈblʌˌdɔɹn/
bluhm	/ˈblʌm/
bluing	/ˈbluɪŋ/
bluish	/ˈbluɪʃ/
bluitt	/ˈblut/
blum	/ˈblum/
blumberg	/ˈblʌmbɚɡ/
blume	/ˈblum/
blumenberg	/ˈblumɛnbɚɡ/
blumenfeld	/ˈblumɪnfɛld/
blumenschein	/ˈblʌmɪnʃaɪn/
blumenshine	/ˈblʌmɪnʃaɪn/
blumenstein	/ˈblumɛnstaɪn/
blumenstock	/ˈblumɛnstɑk/
blumenthal	/ˈblumənˌθɔl/
blumer	/ˈblumɚ/
blumquist	/ˈblʌmkwɪst/
blumstein	/ˈblʌmstaɪn/
blunck	/ˈblʌŋk/
blundall	/ˈblʌndəl/
blundell	/ˈblʌndəl/
blunder	/ˈblʌndɚ/
blundered	/ˈblʌndɚd/
blundering	/ˈblʌndɚɪŋ/
blunders	/ˈblʌndɚz/
blunk	/ˈblʌŋk/
blunt	/ˈblʌnt/
blunted	/ˈblʌntəd/
blunter	/ˈblʌntɚ/
bluntest	/ˈblʌntəst/
blunting	/ˈblʌntɪŋ/
bluntly	/ˈblʌntli/
bluntness	/ˈblʌntnəs/
blunts	/ˈblʌnts/
blur	/ˈblɝ/
blurb	/ˈblɝb/
blurbs	/ˈblɝbz/
blurred	/ˈblɝd/
blurring	/ˈblɝɪŋ/
blurry	/ˈblɝi/
blurs	/ˈblɝz/
blurt	/ˈblɝt/
blurted	/ˈblɝtɪd/
blurton	/ˈblɝtən/
blurts	/ˈblɝts/
blush	/ˈblʌʃ/
blushed	/ˈblʌʃt/
blushes	/ˈblʌʃəz/
blushing	/ˈblʌʃɪŋ/
blust	/ˈblʌst/
bluster	/ˈblʌstɚ/
blustering	/ˈblʌstɚɪŋ/
blustery	/ˈblʌstɚi/
bluth	/ˈbluθ/
blvd	/ˈbʊləˌvɑɹd/
bly	/ˈblaɪ/
blye	/ˈblaɪ/
blyler	/ˈblaɪlɚ/
blystone	/ˈblaɪˌstoʊn/
blyth	/ˈblɪθ/
blythe	/ˈblaɪð/
bmw	/ˈbiˌɛmˈdʌbəlju/
bo	/ˈboʊ/
bo-shek	/ˈboʊˈʃɛk/
boa	/ˈboʊə/
boak	/ˈboʊk/
boake	/ˈboʊk/
boal	/ˈboʊl/
boals	/ˈboʊlz/
boan	/ˈboʊn/
boar	/ˈbɔɹ/
board	/ˈbɔɹd/
board's	/ˈbɔɹdz/
boarda	/ˈbɔɹdə/
boardbent	/ˈbɔɹdˌbɛnt/
boarded	/ˈbɔɹdəd/
boarder	/ˈbɔɹdɚ/
boarders	/ˈbɔɹdɚz/
boardgame	/ˈbɔɹdˌɡeɪm/
boardgames	/ˈbɔɹdˌɡeɪmz/
boarding	/ˈbɔɹdɪŋ/
boardinghouse	/ˈbɔɹdɪŋˌhaʊs/
boardinghouses	/ˈbɔɹdɪŋˌhaʊsɪz/
boardingpass	/ˈbɔɹdɪnɡˌpæs/
boardingpasses	/ˈbɔɹdɪnɡˌpæsɪz/
boardings	/ˈbɔɹdɪŋz/
boardman	/ˈbɔɹdmən/
boardroom	/ˈbɔɹˌdɹum/
boardrooms	/ˈbɔɹˌdɹumz/
boards	/ˈbɔɹdz/
boardwalk	/ˈbɔɹˌdwɔk/
boardwalks	/ˈbɔɹˌdwɔks/
boarman	/ˈbɔɹmən/
boart	/ˈbɔɹt/
boas	/ˈboʊəz/
boase	/ˈboʊz/
boast	/ˈboʊst/
boasted	/ˈboʊstəd/
boastful	/ˈboʊstfəl/
boasting	/ˈboʊstɪŋ/
boasts	/ˈboʊsts/
boat	/ˈboʊt/
boat's	/ˈboʊts/
boated	/ˈboʊtɪd/
boaters	/ˈboʊtɚz/
boathouse	/ˈboʊtˈhaʊs/
boating	/ˈboʊtɪŋ/
boatlift	/ˈboʊtˌlɪft/
boatlift's	/ˈboʊtˌlɪfts/
boatlifts	/ˈboʊtˌlɪfts/
boatload	/ˈboʊtˌloʊd/
boatloads	/ˈboʊtˌloʊdz/
boatman	/ˈboʊtmən/
boatmen's	/ˈboʊtmɛnz/
boatner	/ˈboʊtnɚ/
boatright	/ˈboʊˌtɹaɪt/
boats	/ˈboʊts/
boatswain	/ˈboʊtsweɪn/
boatwright	/ˈboʊˌtɹaɪt/
boatyard	/ˈboʊtˌjɑɹd/
boaz	/ˈboʊæz/
bob	/ˈbɑb/
bob's	/ˈbɑbz/
boback	/ˈboʊˌbæk/
bobadilla	/boʊbɑˈdɪlə/
bobak	/ˈboʊbək/
bobb	/ˈbɑb/
bobber	/ˈbɑbɚ/
bobbett	/ˈbɑbɪt/
bobbette	/ˈbɑˈbɛt/
bobbi	/ˈbɑbi/
bobbie	/ˈbɑbi/
bobbin	/ˈbɑbən/
bobbing	/ˈbɑbɪŋ/
bobbinger	/ˈbɑbɪŋɚ/
bobbinger's	/ˈbɑbɪŋɚz/
bobbitt	/ˈbɑbɪt/
bobbitt's	/ˈbɑbɪts/
bobbitts	/ˈbɑbɪts/
bobble	/ˈbɔbəl/
bobbled	/ˈbɔbəld/
bobbles	/ˈbɔbəlz/
bobbling	/ˈbɔblɪŋ/
bobbo	/ˈbɑboʊ/
bobby	/ˈbɑbi/
bobby's	/ˈbɑbiz/
bobcat	/ˈbɑbˌkæt/
bobcats	/ˈbɑbˌkætz/
bobe	/ˈboʊb/
bobeck	/ˈboʊˌbɛk/
bobek	/ˈboʊbɪk/
bober	/ˈbɑbɚ/
boberg	/ˈboʊbɚɡ/
bobick	/ˈbɑbɪk/
bobier	/ˈboʊbiɚ/
bobinski	/bəˈbɪnski/
boblitt	/bəˈblɪt/
bobo	/ˈboʊboʊ/
bobolas	/ˈboʊboʊləs/
bobrow	/ˈbɑˌbɹoʊ/
bobrowski	/bəˈbɹɔfski/
bobsled	/ˈbɑbˌslɛd/
bobst	/ˈbɑbst/
bobzien	/ˈbɑbzin/
boca	/ˈboʊkə/
bocanegra	/ˌboʊkəˈnɛɡɹə/
bocce	/ˈboʊtʃi/
bocchino	/ˌboʊˈkinoʊ/
boccia	/ˈboʊtʃə/
boccio	/ˈboʊtʃioʊ/
boccuzzi	/boʊˈkutsi/
bocek	/ˈboʊˌtʃɛk/
boch	/ˈbɑk/
bocharov	/ˈbɑtʃɚɑv/
